,num_trees,train_acc,test_acc
0,1.0,0.8816,0.8334
1,2.0,0.8452,0.7828
2,4.0,0.9118,0.8496
3,8.0,0.9278,0.874
4,16.0,0.929,0.8842
5,32.0,0.9284,0.8844
6,64.0,0.9286,0.8882
7,128.0,0.928,0.8874
8,256.0,0.9298,0.889
9,512.0,0.9286,0.8892
