,num_trees,train_acc,test_acc
0,1.0,0.8912,0.8834
1,2.0,0.8912,0.8834
2,4.0,0.8912,0.8834
3,8.0,0.895,0.8912
4,16.0,0.8964,0.8922
5,32.0,0.895,0.8944
6,64.0,0.8964,0.8922
7,128.0,0.8964,0.8928
8,256.0,0.8968,0.892
9,512.0,0.897,0.8924
